dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,recall_feasible,speed_quality,expansion_quality,optimal_score,selection
amazon,8,50,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2509554140127388,1.0,0.4012219959263595,0.9999999978489328,0.0514904131825464,0.0,785.0,197.0,3.984771573604061,31.44375,50.32802359873031,1.3127009750036225,91.17533600000002,3.984771573604061,0.9485095868174536,True,0.46266431563044863,0.0,0.426299767858933,recall_ge_0.90_max_f1_precision
cifar10,2,20,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.3999999999996799,1.0,0.0001615705552502,0.0,1800.0,450.0,4.0,3.559406565656565,13.096866976334454,0.9954145750015186,123.944970042,4.0,0.9998384294447498,True,0.8581534208458834,0.0,0.44540767104218215,recall_ge_0.90_max_f1_precision
cifar10_gist512,13,50,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3485503640198476,0.9040555555555556,0.5020769822964308,0.9894461525141096,0.0094493031355718,0.0111347188655971,1176.575,450.0,2.614611111111111,20.47425595238095,17.84474377865812,2.3782207750024043,34.572199375,2.614611111111111,0.9905506968644282,True,0.6591907710889577,0.070048213721151,0.4871424165324444,recall_ge_0.90_max_f1_precision
isolet,20,50,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3367382927143487,0.8812223454052723,0.4848337667537358,0.9962033668970978,0.003797767620222,0.0037994421721421,1200.95,450.025,2.668608770633161,19.19,15.815579646800566,2.1458250500000275,38.155421292,2.668608770633161,0.996202232379778,False,0.47243580886081127,0.0,0.4537426510664897,fallback_max_recall
