dataset,K,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
amazon,10,0.2375939192866637,0.2157919951655139,0.2299482459887839,0.2284904864639768,0.2148001414442496,0.2141279138405152,0.2290353640200244,0.2380131861602699,0.2390271893049143,0.2378948754878286,0.2335146739765942,0.2357156026616927,0.2390753699810636,0.2370116967188781,0.2292991571633121,0.2235155867921682,0.2176638685608173,0.2153748323654524,0.2126268330392505
amazon,20,0.2430622632817732,0.2342056803078659,0.2340945120699968,0.2235370743992689,0.2277373656218279,0.2349590723403993,0.2363375987420005,0.2350407280661875,0.2240466601151337,0.2216262007650087,0.2158262635447363,0.2155837022659961,0.215020982251228,0.2145737406236242,0.2148865360643626,0.217677239374115,0.2166489225868335,0.2198861390572575,0.2201478592010787
amazon,30,0.2375932170094583,0.2328457668679824,0.2279514482725337,0.2241674336763596,0.2271126856665333,0.228934602022308,0.2280043882747822,0.2286355909707232,0.225561605866091,0.2246364455131759,0.2234992355130888,0.2238368290737906,0.2250631178050104,0.2257958179538859,0.2255051375788101,0.2269260369540562,0.2265902092206697,0.2273564917920583,0.2284731814755829
amazon,40,0.238054437669733,0.2368000343177543,0.2376876634350167,0.2379574089932494,0.2396128439831291,0.2415194766668419,0.2423761933507831,0.24339601835406,0.2435434374472979,0.243355274563371,0.2431185329828979,0.2439395174069352,0.2441153555750148,0.2452006825672389,0.2459082039940734,0.2464412881582186,0.2464377015174959,0.2464781113849142,0.2468484370001018
amazon,50,0.2484431592372754,0.2498819324321571,0.2507318718929466,0.2508119186472705,0.250835803997589,0.2509076433121019,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388,0.2509554140127388
amazon,60,0.2329318776889276,0.2329095224911574,0.2325386054753134,0.2322595221385105,0.2335024832766493,0.2359649930802331,0.236366617290799,0.2366202468529281,0.2372454998808822,0.2372958433082014,0.2369302049300529,0.2380550309789328,0.2380235263352168,0.239100060286633,0.2395221405322072,0.2402202630359236,0.2408115292268353,0.2407537533391025,0.2413358577386081
amazon,70,0.2310259502108729,0.2290379445962564,0.2252391451343847,0.2210490261266779,0.2222818902462611,0.2243938807600312,0.2218126348586577,0.2199078002742427,0.2198241039642139,0.2192442678244438,0.2175805540464774,0.2181867860751997,0.2172362086687131,0.2185742866808508,0.2193891755427191,0.2195646843750308,0.2191114043726643,0.2195341843466979,0.2200180280760367
amazon,80,0.248979857940837,0.2548557925833462,0.2544919556063562,0.2478805833125509,0.2518610441606635,0.2483742128950997,0.2452565351908266,0.2491067655037217,0.2470784753810002,0.2400624088939783,0.2369716272960521,0.2357316711208214,0.2333009708872837,0.2341405036006192,0.2329128445023857,0.2325581202509129,0.2330661461734866,0.2309922189312763,0.2294866783179818
amazon,90,0.2874801884332785,0.3026819680089901,0.2998862279759035,0.302800462344338,0.3161638954397742,0.3128945122498602,0.3140546302677919,0.3101272715891517,0.3051777347588223,0.2959371969865768,0.2901094012293032,0.2887989093967126,0.2865029719494412,0.2886993251925501,0.2882910106195904,0.2892747494080548,0.288488120313955,0.2934190369188361,0.2891248623689712
