L,K,mean_precision,mean_recall,min_recall,mean_f1,mean_candidate_expansion_ratio,mean_candidate_size,mean_query_time_ms,mean_optimal_score,recall_feasible_all
2,10,0.3355491542046667,0.5391660118268233,0.2121111111111111,0.34555856181732303,1.9500770980512065,725.4,1.1824281500003586,0.4198928055022963,False
2,20,0.3736883686036065,0.5417766683487093,0.16,0.33781679336733683,1.9226834039291014,699.9875,1.6209262562500992,0.42457769312649196,False
2,30,0.38140751865513445,0.5958608136271718,0.2155555555555555,0.3617312204283647,2.1052884177918845,748.4,1.9409091250004007,0.43438758271796246,False
2,40,0.37220827850039484,0.6906892781035563,0.3388888888888889,0.40956163620323016,2.3971373464432615,842.28125,2.088015887499539,0.4523837671541943,False
2,50,0.3321651187914932,0.8300487268687868,0.6627777777777777,0.4526719369093056,2.8077369798017315,1012.575,2.2100380249998164,0.4621940893384915,False
2,60,0.40581362115128,0.644443096621783,0.2437222222222222,0.38438524470624846,2.263955117599169,789.55625,2.5947596562490016,0.4429086186697522,False
2,70,0.44798194100857713,0.5258961351161735,0.0922777777777777,0.31413120515850124,1.8856945699723495,677.5875,2.4852638562495866,0.4233252548305718,False
2,80,0.43598307372670975,0.4153361404374311,0.0404444444444444,0.26104804237966683,1.4509562052992473,566.75625,2.7573660999993255,0.39539048899580365,False
2,90,0.37365410017205014,0.34908097597242693,0.0223333333333333,0.21682579296125218,1.201333584545467,504.34375,2.674732299999949,0.36137469358457175,False
2,100,0.29930599011643455,0.29467026226734344,0.0123888888888888,0.16155776355932322,1.0586426254935137,466.01875,2.8080997062490005,0.3172013230705937,False
3,10,0.3448145218252796,0.49334867837718527,0.1388888888888889,0.31234874945580593,1.7898110284471558,670.70625,0.9582596124998233,0.4120833585952678,False
3,20,0.3896701891040132,0.5125982845978667,0.1273333333333333,0.3225140347452342,1.8326362016850442,671.9875,1.2211531750006888,0.4264391823268977,False
3,30,0.3903476353128262,0.5924767074608909,0.1984444444444444,0.36011550065125797,2.096662569267017,743.8687500000001,1.325893987500315,0.4430790035307508,False
3,40,0.37349270389770056,0.7052660918020117,0.3356111111111111,0.4164972770842242,2.4269362518336766,853.4375,1.4713825624980803,0.46404057157582856,False
3,50,0.32439295246056316,0.8655289067473046,0.7302222222222222,0.45709996388297924,2.9232180671391395,1063.8375,1.5020833374996378,0.47142984379074393,False
3,60,0.4081511725003404,0.6565483543494872,0.2467777777777778,0.39149967004184183,2.292513059591833,798.475,1.564014806252434,0.4596803756122634,False
3,70,0.4615590360062985,0.5286809419876617,0.0882222222222222,0.3168879820560171,1.8913012888573744,678.59375,1.6410137875002118,0.4383144414640373,False
3,80,0.41096887016033645,0.41073188583870146,0.0364444444444444,0.25913258754102464,1.4237510623756444,559.7875,1.79201247500127,0.40007784332500923,False
3,90,0.3636261246650224,0.3432526263939381,0.0202777777777777,0.2118306258028951,1.1762510753505089,497.375,1.7168223687497264,0.36884203372671587,False
3,100,0.29860210653730546,0.2901177382966723,0.0108333333333333,0.1557051464489339,1.0485654258319235,463.13750000000005,1.7785278312516084,0.327131139196392,False
4,10,0.3534776080584088,0.4986486205061635,0.1195555555555555,0.3228478149355059,1.7990510001275601,674.96875,0.9708692812503195,0.41827760669573416,False
4,20,0.39552793718217044,0.5136688043928201,0.1246666666666666,0.3239771838133836,1.8220855245221812,667.7375,1.238936231250376,0.42906796359549915,False
4,30,0.39661454361141224,0.5915804094554559,0.2008333333333333,0.3615737155025877,2.09169419151275,741.00625,1.391256218750403,0.44480486392428353,False
4,40,0.37669296744609526,0.7087224260682847,0.3422222222222222,0.41975499258397553,2.4328649526089174,853.54375,1.4806476437506433,0.4664564430126001,False
4,50,0.31961760941579975,0.8835039717154209,0.7615071446169008,0.4574746034198002,2.9917070460079316,1094.3375,1.5512773437500016,0.4697548488252995,False
4,60,0.41316748429051964,0.6600988564298426,0.246,0.3943780073128339,2.2997739265879047,799.96875,1.6013307250015263,0.4620639406587278,False
4,70,0.4624262149165925,0.5267245170536615,0.0907777777777777,0.3164002129458592,1.8967653376966396,677.90625,1.797405987500822,0.43660265969157497,False
4,80,0.4193540497408682,0.4126530735421567,0.0371666666666666,0.2601408709499186,1.434617681551181,561.3625,1.7480755062496023,0.4027724380329009,False
4,90,0.3601251423309315,0.3421230040594129,0.0198888888888888,0.20996803280228965,1.1786318168061698,496.76875,1.7618458062470754,0.3665468944379208,False
4,100,0.2928950669046578,0.288396714608009,0.0100555555555555,0.1516802706197799,1.04848991821771,462.26875,1.8418606749986743,0.32332380979244824,False
5,10,0.34903030967926085,0.5243263648932058,0.1296111111111111,0.3325740145966219,1.9021363123622008,704.8625,1.0090586062498907,0.4207210256495707,False
5,20,0.4004968685860473,0.5052065318593887,0.1189444444444444,0.32064878338314,1.8027805508033161,664.075,1.2796531124986465,0.42770571846034033,False
5,30,0.39914266193184,0.5896564284043855,0.1908333333333333,0.35975485732728507,2.0997751148041015,742.1625,1.4331812687491396,0.44370840298628184,False
5,40,0.37624036152698315,0.7188916226771866,0.3622777777777778,0.4249033241461563,2.4589201434613566,863.8,1.4989124875009807,0.4686461913563217,False
5,50,0.3166475991511257,0.8983665244433939,0.7852275190933727,0.4581782024250787,3.046270522796368,1118.84375,1.5943630499993144,0.4688392837956435,False
5,60,0.4129404570151187,0.6674319927953548,0.2456666666666666,0.3977660558564674,2.3191965615358736,806.06875,1.6375155812498932,0.4634280624155879,False
5,70,0.4707169198654635,0.5282622259177137,0.0893333333333333,0.31649009126883443,1.9113296963068847,680.63125,1.7691950124991251,0.43871807914600225,False
5,80,0.4267027303687272,0.4102130488367643,0.0358333333333333,0.2584104426909169,1.4302007814932787,559.31875,1.731822137499783,0.4039269751873471,False
5,90,0.36431440293205775,0.34000223417785624,0.0181666666666666,0.20771683740068225,1.1692135285941,494.25625,1.7824906062512191,0.36669695995104384,False
5,100,0.2961975739150176,0.28795255217146076,0.0095555555555555,0.15169225785331794,1.0470284827975183,461.95625,1.8349672250002502,0.3243607445397417,False
6,10,0.3504635040542464,0.494351902083857,0.1431666666666666,0.3197325745985695,1.763807989046088,667.6875,1.0352075187490595,0.4164188136939596,False
6,20,0.41025169985702925,0.5116175105330887,0.0967777777777777,0.31834524592124586,1.8328341906123262,672.35,1.3005083687504637,0.42920648783272486,False
6,30,0.3991770178478492,0.5971740806292465,0.1832777777777778,0.35982837211951124,2.1284844003048935,750.025,1.4422617125011694,0.4439667745075464,False
6,40,0.37311351543793636,0.7315416435307638,0.380111111111111,0.4304717712132806,2.4909790409042762,876.8625,1.592458343749703,0.47000078845497917,False
6,50,0.3121670506145865,0.9082589303021549,0.8028369056417837,0.45608159786827485,3.097840158268334,1142.04375,1.6219187312489947,0.4659192653188725,False
6,60,0.4118274270527874,0.678383775072753,0.2587222222222222,0.40350824062361396,2.3466827447121954,816.4875,1.6503731687502299,0.46590588803893407,False
6,70,0.46760081893178085,0.5328305115348108,0.0852777777777777,0.31663403293252845,1.9295890422736715,687.05,1.7269971562502207,0.4384029294334347,False
6,80,0.42921884777247243,0.4133076754608109,0.0371666666666666,0.26023537267635133,1.4382489473164228,562.30625,1.786583581250012,0.404992053882123,False
6,90,0.35774527547977764,0.3399733194580446,0.0185555555555555,0.2079840797946127,1.1640622224473283,494.08125,1.8007955249994545,0.3651630830024569,False
6,100,0.28453830720611917,0.2869813169768753,0.0092222222222222,0.15079237542940815,1.0439931613085167,461.53749999999997,1.8612419500023236,0.3208018553037333,False
7,10,0.3627539237386135,0.45455747286533776,0.1486666666666666,0.30064733224971024,1.6402068057384542,627.94375,1.0660843562486644,0.41036253628718855,False
7,20,0.41017521913915633,0.523827396473088,0.1025555555555555,0.32649274688960805,1.868661519866237,681.0,1.346785949999818,0.43252206726339315,False
7,30,0.39728342819162865,0.609022062115522,0.1867777777777778,0.3654876530136987,2.1621922505980944,759.09375,1.7469044375005183,0.44408484319995495,False
7,40,0.3707473830000562,0.7436470860330431,0.3904444444444444,0.43448914067776273,2.522010868715632,888.95,1.574184643749943,0.4717252883627455,False
7,50,0.3071233330056578,0.922367781285681,0.8433360433604336,0.4537838541261786,3.17012580772439,1174.55,1.6607502062503166,0.46230722574182365,False
7,60,0.40673996021099634,0.6938056271517953,0.2708333333333333,0.41141091786573575,2.379624299982617,829.25,1.692902624998549,0.4683844779336944,False
7,70,0.4629649524512881,0.5416151255028933,0.0894444444444444,0.3218557865069232,1.9533975126403318,692.3625000000001,1.7537989374975638,0.4397252784511689,False
7,80,0.4088322686977597,0.414008050981525,0.0356666666666666,0.26040153738051625,1.4389575010661273,562.7375,1.7734705437502107,0.4001369967462983,False
7,90,0.36301831394266926,0.3397012523401653,0.0169999999999999,0.2074939564765809,1.162546571009088,493.4875,1.8390570812521823,0.3660418072294983,False
7,100,0.2728402985190527,0.28530950366610264,0.0084444444444444,0.1486976497971347,1.041373519458545,460.9125,1.8687374687482716,0.31684138893780855,False
8,10,0.3730934052460959,0.4429362580866233,0.1507222222222222,0.2970869211033367,1.6005250783806868,614.4375,1.1051044562479628,0.4109277092392115,False
8,20,0.41010425442733445,0.524643446349092,0.1037777777777777,0.32485722965361147,1.867919510194179,678.39375,1.3943301749987036,0.43188616048464235,False
8,30,0.39409154249498446,0.6155422669495499,0.1958333333333333,0.36976532760086633,2.178282940366898,765.075,1.5337304624988946,0.44673471673108844,False
8,40,0.37012628169164763,0.7483313667815958,0.3900555555555555,0.4346876444555167,2.5347683084716173,893.68125,1.5872924687502898,0.47172064309719763,False
8,50,0.30471771156152594,0.9284583949248583,0.8531669130327666,0.452497274001716,3.2030430412206754,1189.35,1.7004286124998824,0.46024440998328503,False
8,60,0.4055116418884005,0.6992486842236905,0.2806111111111111,0.41448652114840373,2.391897769792765,833.425,1.7268830812506852,0.46934558696962064,False
8,70,0.4563007112065885,0.544576191373935,0.0916666666666666,0.3225653371793825,1.9704601410602245,696.69375,1.935964312499605,0.4360129109822828,False
8,80,0.4026370028729085,0.4150688325936097,0.0346111111111111,0.25973468781648756,1.44525538081696,564.11875,3.2088466187486286,0.38798355622316516,False
8,90,0.37002846931775524,0.33900765391940946,0.0170555555555555,0.2072065039009999,1.1596619827406165,493.1125,1.8796336187490326,0.3672490208274821,False
8,100,0.28624092500164267,0.28493097856739985,0.0082777777777777,0.14830659322457143,1.0402315284827974,460.74375,1.8975497625004945,0.3197626693563521,False
9,10,0.3773089978843777,0.4403888102580841,0.1136666666666666,0.2900221039793892,1.5952348217535015,609.45625,1.1502569750001967,0.4089795952853367,False
9,20,0.41343462468106773,0.5216200088979431,0.0993888888888888,0.3218025501771976,1.856496467554085,675.46875,1.4796260375015358,0.4304990262527072,False
9,30,0.3953196754436006,0.6173299814412542,0.2014444444444444,0.3708481858492114,2.184637067718162,765.2375000000001,1.5681616812496024,0.4472700083573711,False
9,40,0.3700981961643031,0.7497848751849309,0.3892777777777778,0.43509362556853964,2.535051030298028,893.4312500000001,1.6217721624983916,0.4718057822040202,False
9,50,0.30342779254242525,0.9319167282581917,0.8551669130327667,0.4518431148486322,3.2212652018513723,1197.55,1.7533601624978967,0.45884178997340924,False
9,60,0.4045649302409376,0.7027087185148502,0.2882222222222222,0.41657041121524313,2.399222691505872,836.56875,1.7924254874981393,0.4694385105381882,False
9,70,0.4529450641990367,0.5466821647513891,0.0933333333333333,0.3233804599434541,1.9836159285375732,699.10625,1.8715666687497468,0.43631653823084493,False
9,80,0.41680918603562744,0.4152153356956966,0.0339444444444444,0.26053092190364546,1.447735005746458,564.23125,1.949741168748309,0.40042905534077994,False
9,90,0.37552231849954165,0.33860092803108466,0.0173888888888888,0.20635967984070247,1.1620946533553937,493.46875,1.9272429562510407,0.36765194703466003,False
9,100,0.28427772273093777,0.2843652002256063,0.0078333333333333,0.14723805368780252,1.0403121122391426,460.475,1.954700774998308,0.31823378522217927,False
10,10,0.3814504052831469,0.4392325073816036,0.0806666666666666,0.28144441560010336,1.6058349037608974,608.2625,1.176542631250932,0.4062717904744241,False
10,20,0.4070517237399701,0.5160404210796837,0.1035,0.3204579640857562,1.8443345909572388,672.78125,1.5694893374998742,0.4274398611813181,False
10,30,0.3951832687912786,0.6168420550997157,0.2030555555555556,0.37148201069683806,2.1856009755534798,767.2125,1.5616385749996464,0.4472598494110137,False
10,40,0.36800911097942834,0.7547782795767506,0.3938888888888888,0.436031306397354,2.551831070548246,900.8062500000001,1.6567057249990302,0.471277349915653,False
10,50,0.3013827627594059,0.9350278393693028,0.8590558019216555,0.45028684239565386,3.2453752659065587,1208.4,1.7876096625002447,0.456715845851393,False
10,60,0.40275848105664314,0.707469875647649,0.294,0.41868472751319735,2.4123619247758006,842.0,1.8703377812491873,0.4691058727222349,False
10,70,0.4499525651606231,0.5474999876504303,0.0949444444444444,0.32449048317777285,1.9860727813294514,700.4125,1.906870806251293,0.4355874478870682,False
10,80,0.4145007889095709,0.4217473435919177,0.0344444444444444,0.26297539578729845,1.4792026453403666,571.03125,1.9393519875000376,0.40075144348346986,False
10,90,0.3798737753396785,0.3471110803153486,0.0176666666666666,0.21286864773378017,1.1886784802025454,498.5125,1.9669890249996769,0.371353512885973,False
10,100,0.29798718188637313,0.28574739142695993,0.008,0.14906387004293836,1.0436256345177664,461.1875,1.9865151000004744,0.32201516317454537,False
11,10,0.38201723539730364,0.4458418559433633,0.0775555555555555,0.28320953788896897,1.6335796866148171,613.925,1.2093094250015035,0.40697870845804196,False
11,20,0.4053872337294105,0.5154957933301068,0.1036666666666666,0.3204459315807713,1.8469534572854958,673.8875,1.5229140750012693,0.4269485775524889,False
11,30,0.39411386441641016,0.6213098186582927,0.2097777777777777,0.3751720953628489,2.1985118132232317,771.65,1.6138382812505905,0.4479453496379007,False
11,40,0.3673744924900571,0.7569467266136667,0.3998888888888888,0.4373323501389241,2.558558334052422,903.56875,1.7129246937499065,0.47119182028189543,False
11,50,0.3002611811098435,0.938000061591525,0.8626113574772113,0.4496252390812852,3.2621807906663514,1215.9625,1.8439758187496658,0.45520901414001025,False
11,60,0.4022264857059523,0.7101382124763795,0.2975,0.4195686420996028,2.418618851790156,844.4625,1.8821486312479596,0.46945732657932737,False
11,70,0.4512598684543967,0.5502032448416316,0.0953333333333333,0.3257959036235152,1.998010144780728,702.975,1.9013007687505024,0.43662165688055293,False
11,80,0.4134709779592002,0.423603660568793,0.0355555555555555,0.2633137937019878,1.4917343712286915,573.5,1.9622789187504264,0.4003317415016141,False
11,90,0.3715576685513835,0.347495457077898,0.0181666666666666,0.21220569283495727,1.1905574988150667,498.5875,1.978344499998963,0.3688993317360974,False
11,100,0.2913894273647677,0.2862390721940214,0.0081666666666666,0.1497496257205243,1.0440399746192892,461.23749999999995,2.0415966250018958,0.3204309112448423,False
12,10,0.37920201973613554,0.44948959728522064,0.0637222222222222,0.28205011479437303,1.6616273151535161,618.65625,1.222975775002988,0.405580761061105,False
12,20,0.40200564714943077,0.512005875894015,0.1042777777777777,0.31910540004033167,1.8492552551327313,674.4499999999999,1.532753375001894,0.42470669254207105,False
12,30,0.388520286559808,0.6256392313940444,0.2124444444444444,0.3780371278485085,2.2136676200847147,778.575,1.6514127687479618,0.4472167500126555,False
12,40,0.3648968208525381,0.7625338103081076,0.4086111111111111,0.43866162663148395,2.576993509441324,911.825,1.7360687437486089,0.4708243110460178,False
12,50,0.2988126801204548,0.9410695060359695,0.867889135254989,0.44858726639985064,3.2829301131595763,1225.3,1.8854090937495904,0.4536168307894437,False
12,60,0.3988652876859947,0.7125510282658203,0.2996666666666667,0.4194368497763654,2.4310692191820396,850.25,1.8832277812500298,0.46845067459123424,False
12,70,0.44764979885669687,0.5533243761435076,0.0968888888888888,0.3270539999525765,2.0135964481074207,708.825,1.9346716562528954,0.4356331805696444,False
12,80,0.4153079903231654,0.42658321499631696,0.0364444444444444,0.2645202693917605,1.5056317908564412,577.61875,1.9912421374997713,0.40100717816227344,False
12,90,0.3637323328792243,0.3492209531866892,0.0166111111111111,0.2130001192927216,1.1994990834743373,500.66875,2.0029093625005157,0.36695721636631157,False
12,100,0.2917024928049402,0.28608847997743936,0.0077222222222222,0.14971482568836317,1.0442660039481104,461.275,2.063959350001454,0.3202080522879045,False
13,10,0.37997134693864565,0.4514516672231789,0.0544999999999999,0.281395973544629,1.6748321630943583,620.85,1.321020075000856,0.4044069243184983,False
13,20,0.4004518840516693,0.5136586228760304,0.1082222222222222,0.3198390171942018,1.8551814087701328,676.95625,1.5479016375011145,0.42443089678926993,False
13,30,0.38812249709545293,0.6284893839034145,0.2128333333333333,0.3786448448060131,2.2234227359330583,781.0625,1.6747533562497807,0.4473189970375052,False
13,40,0.3647189767421602,0.7660547493944021,0.415388888888889,0.4405744113351171,2.5829760249517584,913.875,1.793800512500221,0.47148495360896836,False
13,50,0.2980491790362031,0.9437361727026361,0.8708891352549888,0.4482175179428588,3.296582798550067,1231.44375,1.9157512749995664,0.45283798366007366,False
13,60,0.39844561773002285,0.718129113657311,0.3045555555555556,0.42221904070376176,2.442262998312955,854.24375,1.9319366812509564,0.4694783166511697,False
13,70,0.4539172788374198,0.5581562070500723,0.0981111111111111,0.3293978822635524,2.027534877998757,712.7375,1.9730752062490087,0.438136882743702,False
13,80,0.418072729929326,0.4286143460730869,0.0368333333333333,0.2658424414712149,1.5115176878666572,579.0875,2.004886262501282,0.4022787813692392,False
13,90,0.374792832101795,0.34984842075578115,0.0169444444444444,0.21437062104100554,1.2001091370558374,501.3125,2.0201341687494434,0.37023897782044923,False
13,100,0.297994640050619,0.28537253243090804,0.0071666666666666,0.14873302910098787,1.0429294275239707,460.96250000000003,2.060628718749058,0.32138745796347495,False
14,10,0.38033862261047857,0.45713360686848675,0.0564999999999999,0.28527603610746716,1.6927033891283767,625.59375,1.3108638187494748,0.4063347158718016,False
14,20,0.40028642724248487,0.5156452275009598,0.1119444444444444,0.319942902004955,1.8668967615051093,678.7125,1.579179437501832,0.4241607535941456,False
14,30,0.3881522415361246,0.6336313440833993,0.2201111111111111,0.3823074402560526,2.233341738075318,784.9,1.7292196999990406,0.44861169687767577,False
14,40,0.3645630721637455,0.7687191073168231,0.4215,0.4421477351906953,2.5868603271479187,915.4625,1.8124153437508284,0.47204526446757095,False
14,50,0.2971150082899855,0.9463611419068736,0.8748890120719388,0.44764985900356874,3.311623726118433,1238.2125,1.9473919250021954,0.4518049715943454,False
14,60,0.3977480190427204,0.7222498397682408,0.3121666666666667,0.4248521361298606,2.4509268716320065,857.89375,1.9896708124997442,0.4699068097959772,False
14,70,0.45429815544227936,0.5594457983637289,0.0992222222222222,0.33024120910612265,2.033230983694816,714.39375,1.9982176999997048,0.43825213136793834,False
14,80,0.4234800009412612,0.42984813061905414,0.0371666666666666,0.26596958717148533,1.5167154459038823,580.375,2.0243903312505918,0.40336607940700575,False
14,90,0.36913214680008183,0.3496541173152848,0.0172222222222222,0.21484937254625935,1.1987247602932882,500.90625,2.046539043747897,0.3687242272374221,False
14,100,0.2981810696240632,0.28439297800338403,0.0074444444444444,0.1476616979459415,1.0411706147772137,460.6125,2.114374018752363,0.3204943654058275,False
15,10,0.37879982489526687,0.4607319968285054,0.0593888888888888,0.28719258335003245,1.698018934078935,628.0500000000001,1.3864867437502149,0.40637400138719965,False
15,20,0.3993027551467627,0.5171426189279198,0.1155,0.31980709113067285,1.8802541360115954,682.44375,1.6041247687484717,0.4233840779513751,False
15,30,0.38692223497676936,0.6389291841280202,0.2257222222222222,0.3838102624874027,2.252833317544643,791.11875,1.7292760187499479,0.4490581574112064,False
15,40,0.36439201816316635,0.7722736758447419,0.4293888888888889,0.4433309274743519,2.597253798665121,919.59375,1.8355919437496926,0.4724204548471099,False
15,50,0.29617013195148395,0.9475139196846514,0.8755556787386055,0.4468407735033207,3.322248510548096,1242.99375,1.9823895812488779,0.4506124131237004,False
15,60,0.39784734100772645,0.7249729477203632,0.3140555555555555,0.42558725599552993,2.4592283777792785,860.81875,2.0070680187488144,0.4702659111273825,False
15,70,0.45846745844305226,0.5623711367732044,0.0985,0.33104569313249066,2.0430447174793622,717.325,2.027605437499469,0.43945500503356466,False
15,80,0.42333108582857126,0.43149982413587407,0.0370555555555555,0.2656519716615531,1.5253076357545994,582.1625,2.0443661812493907,0.4031159425216476,False
15,90,0.367241201382129,0.35106873942470385,0.0174444444444444,0.21652967013103536,1.2000134658770445,501.8875,2.0762891062510835,0.3687945768784052,False
15,100,0.29162913449807737,0.28376445290468133,0.0075,0.14722111370954585,1.040334038353074,460.525,2.174953649999134,0.3181087078098495,False
16,10,0.3715827922648631,0.4612027474197215,0.0613333333333333,0.2869355296384016,1.677060024536563,627.34375,1.4114875187503984,0.4049843835893346,False
16,20,0.400904689954789,0.5183160229883332,0.1137777777777777,0.32079620151498317,1.8880510684410028,683.34375,2.1034048687493367,0.4204484512429195,False
16,30,0.3867971832037963,0.6449219629125226,0.2304444444444444,0.38611640875634157,2.2720330155585824,798.19375,1.8012591125015742,0.44927707839264974,False
16,40,0.36358205328898147,0.7777013764611573,0.4381666666666667,0.44520686680094507,2.6112206724293823,925.55,1.88200885000116,0.47272824697113336,False
16,50,0.2953002790078071,0.9487778085735403,0.8764445676274943,0.44610770965736246,3.333039838461375,1247.85,2.020013837499768,0.44941607983302756,False
16,60,0.3975071908349249,0.7277046261175579,0.3177222222222222,0.42713589257275514,2.466378454596729,863.7874999999999,2.0655900999998256,0.47027412331496465,False
16,70,0.4572451945731174,0.5653441831338017,0.0995555555555555,0.3323766047275515,2.0524099663216293,720.0625,2.0890695437493445,0.43925262454478126,False
16,80,0.42154549774841255,0.43339999334061174,0.0373333333333333,0.26639229263027225,1.5330858365442215,584.25,2.076822399999889,0.4026743264878566,False
16,90,0.367133716477671,0.35039868866328255,0.0173333333333333,0.2161616827587396,1.1982667794698252,501.63125,2.112078100001691,0.3681950272995037,False
16,100,0.28792193688133483,0.28285173434856176,0.0075555555555555,0.14551970120528535,1.0390584461364918,460.03125,3.2326750125004633,0.30891810070351083,False
