HyperplaneLSH+HanMing,HyperplaneLSH,SimHash,AngularLSH
0.5210908647064146,0.31154639242215026,0.00011110493861452143,0.3942581527329326
0.5543476296224681,0.4401150001688237,0.010033076074972436,0.4857528083557582
0.5763162155252934,0.5132848587225904,0.29105217150913104,0.5182560840575873
0.5785884251928165,0.5267925555519324,0.42300952459033236,0.544267885292765
0.5744314297291098,0.5330159055950678,0.4735220244841299,0.5448050182881842
0.5757889976357446,0.5353484663681396,0.4825288454742204,0.5207155553005054
0.559358570998532,0.5174132910112442,0.48912728683331347,0.5256798894696489
0.5643343661841411,0.5226073301154235,0.489699771064565,0.5242829667057357
0.5650598422852099,0.523406313936931,0.48668106180976733,0.5192891886193796
0.5645901635793779,0.5231092642221064,0.48668836221186307,0.5190177125317144
