HyperplaneLSH+HanMing,HyperplaneLSH,SimHash,AngularLSH
0.6234617392383196,0.22794766982758558,0.004654255319148937,0.6046843484138456
0.7928836841925065,0.7121970630225161,0.21508848087870663,0.7645712134135395
0.8035154770082874,0.7952743593881124,0.5336376709853086,0.7852485217273318
0.8051919559910802,0.7984931866119809,0.7541423805887089,0.7953059984550059
0.8042077891377578,0.7982066898251916,0.7834996152371612,0.7990498181032908
0.8037878403732063,0.7981448430155099,0.7891469055872247,0.7998296188408585
0.8050008118201007,0.7999861908652574,0.7907687867782263,0.8029337291539335
0.806336419881244,0.8012854847348687,0.791059939045039,0.8010540416681354
0.8065645323207193,0.801115112896523,0.791059939045039,0.8022294570386929
0.8075072106153331,0.8024353070886568,0.791059939045039,0.80192660736907
