sample_num,acc_density,appro_density,mcmc_density
20,0.0,0.0002287581699346405,0.0022222222222222222
40,0.0,0.0002287581699346405,0.0022222222222222222
60,0.0,0.0002287581699346405,0.0022222222222222222
80,0.0,0.0002287581699346405,0.0022222222222222222
100,0.0,0.0002287581699346405,0.0022222222222222222
120,0.0,0.0002287581699346405,0.0061111111111111106
140,0.0,0.0002287581699346405,0.0022222222222222222
160,0.0,0.0002287581699346405,0.0022222222222222222
180,0.0,0.0002287581699346405,0.0022222222222222222
200,0.0,0.0002287581699346405,0.0022222222222222222
220,0.0,0.0002287581699346405,0.002323232323232323
240,0.0,0.0002287581699346405,0.0022222222222222222
260,0.0,0.0002287581699346405,0.0016239316239316241
280,0.0,0.0002287581699346405,0.001349206349206349
300,0.0,0.0002287581699346405,0.0011111111111111113
320,0.0,0.0002287581699346405,0.0022222222222222222
340,0.0,0.0002287581699346405,0.0022222222222222222
360,0.0,0.0002287581699346405,0.0005555555555555557
380,0.0,0.0002287581699346405,0.0022222222222222222
400,0.0,0.0002287581699346405,0.00027777777777777783
420,0.0,0.0002287581699346405,0.004920634920634921
440,0.0,0.0002287581699346405,0.0022222222222222222
460,0.0,0.0002287581699346405,0.0022222222222222222
480,0.0,0.0002287581699346405,0.0022222222222222222
500,0.0,0.0002287581699346405,0.0022222222222222222
