sample_num,acc_density,appro_density,mcmc_density
20,0.0038632047521503093,0.006407901398666607,0.008411062305879471
40,3.107060802370193e-05,0.00226548714627392,0.0044188184145797366
60,0.0013014609382422243,0.00035871508749651254,0.011313809122203672
80,0.001256907138557549,2.4506382731472043e-05,0.00702476041722646
100,0.003019377210513159,0.0002208833413098535,0.00459761038253044
120,0.0006717953507371019,0.003420879200052414,0.0008003909547973018
140,0.0002836566239992275,0.0012887331656548581,0.007139884441894805
160,0.0009500406855203272,0.0009410418734031242,0.0063082613667625395
180,0.0005018758929747416,0.001822642475146019,0.0015140371394772034
200,0.0011264582444105442,0.0006597301170009201,0.0036518705735783807
220,0.0003840691616464678,0.00016612418990880756,0.006187162482505844
240,0.00043595453852982025,0.00011684432134956985,0.006835863278109373
260,0.000317793645451446,0.0010994814507901685,0.0009912169804351112
280,0.0010812131360504948,0.0001455985540609328,0.001193328219005807
300,8.845734531921778e-06,0.00013538027430240462,0.0005373765408942868
320,0.00042668861990848017,0.0005741160636559203,0.0011901316768994155
340,0.0008244803907067125,0.0005379001270919212,0.00401023061476978
360,0.00041845309954940263,0.0017745028308855867,0.0020642845724586426
380,0.0004046964479959697,0.0012935770752677059,9.712219525544186e-05
400,0.0005972378453203489,0.0015384278020210557,0.0016959615742733955
420,9.981516606390878e-05,0.0007334046048042484,0.005527402676397265
440,0.0008233049645130913,0.0019995335490900004,0.004037597802187237
460,0.0003950940448263704,0.001417674471460774,9.538486058349727e-05
480,2.7774254526685693e-05,0.0006321627028832016,0.0019759778135267705
500,0.0003323522080897062,0.0005812375433954103,0.0003985279563457761
