HyperplaneLSH+HanMing,HyperplaneLSH,SimHash,AngularLSH
0.6559985369422092,0.6262093227792436,0.875,0.676990135352145
0.6722244017261672,0.6682484595226291,0.7342192691029901,0.6633026703581316
0.6718646201181777,0.6636621080259705,0.6960815546352341,0.6644801373222168
0.6740605207600282,0.6657595112468758,0.67007299270073,0.6631106595546524
0.6725313828209943,0.6643268012089305,0.6588439808778792,0.6653480137213678
0.6719442148322418,0.6640940369371066,0.6569280953056305,0.6664300597623245
0.6736413043478261,0.6666474875335635,0.6545148625911386,0.6707512764405543
0.6755139666747835,0.6684539767649688,0.6543417366946779,0.6681319004425104
0.6758342232690141,0.6682168751263757,0.6543417366946779,0.6697688983528528
0.6771589881327597,0.6700559158419193,0.6543417366946779,0.6693468132265799
