sample_num,acc_density,appro_density,mcmc_density
20,0.001431305106263027,0.003502829500347873,0.010861892234168929
40,0.0013374724469086274,0.0011782279740514684,0.0032231529848580423
60,0.00018637380101863,0.0007118275691182993,0.008085628579641145
80,0.001345683495972201,0.0008774534572114565,0.009430448249334457
100,0.001058614203078699,0.0013102600193765357,0.002814433616723261
120,0.0017359964681270615,0.000889134333618341,0.007288332062545255
140,0.0003538829687855585,0.0014675376904993223,0.0014469949133093171
160,0.0008301943077367382,0.0009933852156359876,0.0031803233056918873
180,0.0002696097542987247,0.0003140659152892286,0.000860030343535316
200,0.0011192436798315095,0.0001811366804300371,0.0005377622874948029
220,0.0016401205815847128,0.0005446796069643323,0.00033241636499773547
240,0.0010851883941866355,0.0010212925075631235,0.004656138183144941
260,0.0012469706372332037,0.0006690107110310581,0.0014970083074770726
280,0.0002459997109941006,0.0010895512151068362,0.0025331729943481873
300,0.001247652624975025,1.84251089816595e-05,0.003842341010437428
320,0.0015938497514529776,0.00044660941970479234,0.002747291800845368
340,9.77917970410025e-06,0.0009940628124711567,0.006302362304232097
360,0.0009038839782413016,8.692696730235039e-05,0.0008769959069751601
380,0.0004896205843477816,0.0011213066989444256,0.0030500232109070408
400,0.0005910080738817866,0.0010001029884284043,0.0029010280093766452
420,1.6358936054720885e-05,0.0003289085904253572,0.0007524278363081893
440,0.0008911540187747785,0.0004376462713932411,0.0005589937145827686
460,0.0003733453068618664,0.0007917503466308012,0.0011375137388019221
480,0.0005486926513966692,0.00023695929317800457,0.0016814874004645736
500,0.00042119078466076876,0.001416410864834565,0.0015624145991224095
