HyperplaneLSH+HanMing,HyperplaneLSH,SimHash,AngularLSH
0.7658888888888888,0.25683333333333336,5.555555555555556e-05,0.5140555555555556
0.8758333333333334,0.4888888888888889,0.005055555555555555,0.6963333333333334
0.9477777777777778,0.6972222222222222,0.22816666666666666,0.8592777777777778
0.9695555555555555,0.7866666666666666,0.43705555555555553,0.8874444444444445
0.9932222222222222,0.9375,0.7111666666666666,0.9805555555555555
0.996,0.9649444444444445,0.9285,0.9963888888888889
0.9993333333333333,0.9906666666666667,0.9702222222222222,0.9968888888888889
0.9993333333333333,0.9908888888888889,0.9888333333333333,0.9991666666666666
0.9993333333333333,0.9913888888888889,0.9999444444444444,0.9994444444444445
0.9993333333333333,0.9921111111111112,1.0,0.9995
