sample_num,acc_density,appro_density,mcmc_density
20,1.0837393176754695e-06,1.1848218507765009e-05,0.049464689590727
40,5.804997761851968e-07,1.163266035315207e-05,0.0005315895709252812
60,5.675082050882923e-07,1.3336250808569953e-05,0.0005345770296664956
80,4.773913263156739e-07,1.1679082611002899e-05,0.0005353545260843324
100,6.456958293517842e-07,1.1831295026268622e-05,0.0005345188432555513
120,1.59423904318016e-07,1.2551231784668575e-05,0.0005330770005130579
140,4.79216375534738e-07,1.1939269078930451e-05,0.0005347167773687002
160,4.341549955642378e-07,1.2452933164339565e-05,0.0005327666353547954
180,5.644543060390672e-07,1.2844070836970757e-05,0.0005329197155409996
200,2.481847722011219e-07,1.2565065528715889e-05,0.0005344782594233422
220,9.26762286093891e-08,1.2992847737785108e-05,0.0005350942834121521
240,5.133370952296054e-07,1.278004163034717e-05,0.0005340214539564681
260,2.997673030475344e-07,1.1773440169489694e-05,0.003310839894670128
280,1.093740129139804e-06,1.1888037219710324e-05,0.0005331947800246182
300,2.9567957816325693e-08,1.2206194564545313e-05,0.0005343436883422694
320,1.8158663068600783e-07,1.222304208475084e-05,0.000534277359784044
340,3.1641093853882786e-07,1.2226904373046775e-05,0.0005345968681637343
360,4.71970608606335e-07,1.2072146872845716e-05,0.0005345533336997682
380,9.768879801407785e-08,1.2156702002495234e-05,0.000535144750011466
400,3.069338925390866e-07,1.2131336327291398e-05,0.001965293211323931
420,3.442038548163778e-07,1.2686159611045768e-05,0.0005339803249609671
440,5.413208815885058e-07,1.194736582427918e-05,0.0005345300794189324
460,1.3570293584186984e-07,1.257391177613039e-05,0.0005346349796824819
480,4.268575706583514e-07,1.2233353657488551e-05,0.0005341893506759316
500,8.410427787910492e-08,1.2319191146811055e-05,0.0005338209778506285
