HyperplaneLSH+HanMing,HyperplaneLSH,SimHash,AngularLSH
0.3948776799407973,0.3958806149102899,1.0,0.31974386339381006
0.405502725051682,0.40019012358032724,0.65,0.37296361624505625
0.4140413990651096,0.40613938227592516,0.40179051905484076,0.37101235716870895
0.4123221375373113,0.3959808853118712,0.4098382011932988,0.39249087223535495
0.4040600583733689,0.37236090470726185,0.35492102234117795,0.3771865348063673
0.4049437835801383,0.3704313766179866,0.32596394005619733,0.35245466234430306
0.3883710978677215,0.3501448750452735,0.3269872203275494,0.35695469974999666
0.3931851378398366,0.35489054585286384,0.32543160629820406,0.3553786736826101
0.3938898211978896,0.3555634852868085,0.32160422069212197,0.35077101903384145
0.3934335224950333,0.35519670845316564,0.32160484995886834,0.3505164947364715
