dataset,selection,K,best_L,point_precision,point_recall,point_f1,candidate_expansion_ratio,candidate_size,query_time_ms
isolet,fallback_max_recall,50,20,0.3367382927143487,0.8812223454052723,0.4848337667537358,2.668608770633161,1200.95,2.1458250500000275
cifar10,recall_ge_0.90_max_f1_precision,50,2,0.25,1.0,0.3999999999996799,4.0,1800.0,1.0335678750003296
cifar10_gist512,recall_ge_0.90_max_f1_precision,50,13,0.3485503640198476,0.9040555555555556,0.5020769822964308,2.614611111111111,1176.575,2.3782207750024043
amazon,recall_ge_0.90_max_f1_precision,50,8,0.2509554140127388,1.0,0.4012219959263595,3.984771573604061,785.0,1.3127009750036225
