method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size
MECH,Hash Only,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7738968710990164,0.85109129889604,2.050882409827849,803.375,803.375,2.7202052250003383,1.844007225000155,0.6117417749996079,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375
MECH,Hash + Sphere,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7738968710990164,0.85109129889604,2.050882409827849,803.375,803.375,4.696968749999719,4.009882200000003,0.6278406250002533,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375
MECH,Hash + Distance Table,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7738968710990164,0.85109129889604,2.050882409827849,803.375,803.375,3.8582415249999613,3.2255832250000616,0.5786489249995697,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375
MECH,Full MECH,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,3.1071062249997006,2.9661416499997095,0.11824689999997418,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375
MECH,Hash + Exact Distance (Oracle),radius_first,2,7.0,1,2.0,1.0,1.0,1.0,0.800049832294329,0.8829983691671854,0.0,0.19995016770567103,0.8085063053738395,0.0,0.19149368331390088,-0.1914936851813936,0.1914936851813936,0.800049832294329,465.275,465.275,2.8428177999999527,2.583129175000032,0.25114172500000365,803.375,604.775,0.0,465.275,0.0,1.0,465.275,465.275
