method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size
SimHash,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.33598611111111115,1.0,0.4850123577362188,3.4461435417681416,0.0,1.0,2.497258356712214,0.0,2.4972583529404466,2.4972583529404466,4.446143541768142,1800.0,1800.0,2.777013550000218,1.4900479249998266,1.1698542249999555,0.018545624999999788,1800.0,1800.0,0.0,1800.0,0.0,1.0,1800.0,1800.0
Angular LSH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.33598611111111115,1.0,0.4850123577362188,3.4461435417681416,0.0,1.0,2.497258356712214,0.0,2.4972583529404466,2.4972583529404466,4.446143541768142,1800.0,1800.0,2.2046948250001197,1.1770958500002315,0.9886968750000059,0.012449540999998732,1800.0,1800.0,0.0,1800.0,0.0,1.0,1800.0,1800.0
Hyperplane LSH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.33598611111111115,1.0,0.4850123577362188,3.4461435417681416,0.0,1.0,2.497258356712214,0.0,2.4972583529404466,2.4972583529404466,4.446143541768142,1800.0,1800.0,1.9298437500000265,1.0712509749999377,0.8531625250001174,0.013822082999999097,1800.0,1800.0,0.0,1800.0,0.0,1.0,1800.0,1800.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.916999975000012,2.8073759250001107,0.10552504999994383,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375
