method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size,parameter,value
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.7628586388439116,0.17454583829909417,0.2659290155225591,0.0675981241855423,0.8254541617009059,0.18274428700078513,0.0536342625487634,0.817255711955579,-0.7646936337595143,0.7646936337595143,0.2421439624846365,116.75,16.0,0.6315739999999792,0.5580656249998484,0.07286157499990509,0.07572058299999895,116.75,1800.0,0.0,116.75,0.0,1.0,116.75,116.75,L,2.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.7017203911810718,0.4354683520436208,0.4998905467608316,0.32902975685514385,0.5645316479563792,0.4484149148510843,0.258618840463839,0.551585075476489,-0.2840626320079601,0.4977973286596085,0.7644981088987646,333.0,16.0,1.131201025000017,1.046943674999934,0.08368132500029546,0.12624979199999942,333.0,1800.0,0.0,333.0,0.0,1.0,333.0,333.0,L,4.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.6220944872287549,0.6764170375261681,0.6126350933514718,0.8349456080476895,0.3235829624738319,0.687707342767667,0.6481197869641072,0.3122926547171896,0.33978660216963097,0.6086219116379608,1.5113626455738576,615.625,16.0,1.9850187500001226,1.8909114249999526,0.09248645000017319,0.33298987500000266,615.625,1800.0,0.0,615.625,0.0,1.0,615.625,615.625,L,8.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.840204150000236,2.735675049999564,0.10131150000018962,0.33174716599999954,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,L,12.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.34678272258324144,0.9989640707967238,0.49691373951225104,3.315993183725939,0.0010359292032762753,0.9989980404149066,2.4243858410854466,0.0010019523975517868,2.5274189810462566,2.5274189810462566,4.314957254522663,1738.575,16.0,1.2598687499998817,1.1554302750001355,0.10225010000013413,0.021169041999996807,1738.575,1800.0,0.0,1738.575,0.0,1.0,1738.575,1738.575,K,4.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.7860728499996767,2.689230174999757,0.09657402500025114,0.33071341699999834,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,K,8.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.8250458769092276,0.2994126258369065,0.40846808860892453,0.09307370334045224,0.7005873741630936,0.3140023958926168,0.07553102859724026,0.6859975869942276,-0.6109596383995219,0.6266342391327769,0.3924863291773587,182.275,16.0,6.851708325000239,6.769852050000402,0.08151557499935791,6.74676225,182.275,1800.0,0.0,182.275,0.0,1.0,182.275,182.275,K,12.0
MECH,full,radius_first,2,7.0,1,0.25,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.7590822499995227,2.6650301999998405,0.09298847499952245,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,delta,0.25
MECH,full,radius_first,2,7.0,1,0.5,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.7423634749997206,2.649761475000645,0.09118744999927486,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,delta,0.5
MECH,full,radius_first,2,7.0,1,1.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.934809399999949,2.793357299999677,0.10454057500037806,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,delta,1.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.836171850000113,2.733501050000342,0.10223124999999555,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,delta,2.0
MECH,full,radius_first,2,7.0,1,2.0,0.75,1.0,0.07848514843443755,0.9713639700465198,0.1382257577096351,40.925940422242014,0.02863602995348023,0.9717003119035906,30.330700898046853,0.02829969447924779,30.155369967939443,30.155369967939443,41.89730439228853,799.0512820512821,16.0,2.7750780000001916,2.6789604871792196,0.09606307692313118,0.37098349999999947,799.0512820512821,1800.0,0.0,799.0512820512821,0.0,1.0,799.0512820512821,799.0512820512821,rho,0.75
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.7593729500004827,2.6626426749990273,0.09560727499984267,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,rho,1.0
MECH,full,radius_first,2,7.0,1,2.0,1.25,1.0,0.958103061553351,0.5466892980543695,0.6903730592877672,0.02844023316667955,0.4533107019456305,0.582402849468572,0.020765818719832862,0.4175971466597364,-0.39848758150578867,0.39848758150578867,0.5751295312210492,803.375,16.0,2.743854249999522,2.6496772249993583,0.0928395499999013,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,rho,1.25
MECH,full,radius_first,2,7.0,1,2.0,1.5,1.0,0.9996847068131439,0.4518698927900312,0.6215195021498443,0.0001558167692048305,0.5481301072099688,0.5079550800189178,8.786872891500678e-05,0.49204492493239566,-0.49351460612314585,0.49351460612314585,0.452025709559236,803.375,16.0,2.7455998750003374,2.650895800000086,0.09297817500044658,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,rho,1.5
MECH,full,radius_first,2,7.0,1,2.0,1.0,0.5,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8349116934542511,0.4689520584474816,0.16508830650493206,0.253020869547136,0.40578745886775247,2.050882409827849,803.375,16.0,2.904102999999658,2.7949822749999242,0.1067604250000187,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,sigma,0.5
MECH,full,radius_first,2,7.0,1,2.0,1.0,1.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8085063055956134,0.9653905490924071,0.19149368331390088,0.7536919041511679,0.8376384369830372,2.050882409827849,803.375,16.0,2.8580907500000308,2.753684399999834,0.10256870000020513,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,sigma,1.0
MECH,full,radius_first,2,7.0,1,2.0,1.0,2.0,0.5809839380260667,0.800049832294329,0.640631035546537,1.25083257753352,0.19995016770567103,0.8021429808516963,1.1711394089475984,0.19785699868162507,0.9675944101288847,1.03681149352934,2.050882409827849,803.375,16.0,2.9782531000007495,2.8605405750006696,0.11434467500084367,0.37098349999999947,803.375,1800.0,0.0,803.375,0.0,1.0,803.375,803.375,sigma,2.0
