dataset,selection,L,best_K,point_precision,point_recall,point_f1,candidate_expansion_ratio,candidate_size,query_time_ms
isolet,fallback_max_recall,20,50,0.3367382927143487,0.8812223454052723,0.4848337667537358,2.668608770633161,1200.95,2.1458250500000275
cifar10,recall_ge_0.90_max_f1_precision,20,10,0.25,1.0,0.3999999999996799,4.0,1800.0,2.3107699000000537
cifar10_gist512,recall_ge_0.90_max_f1_precision,20,50,0.3335836595726171,0.9309999999999998,0.4903418425940968,2.811555555555556,1265.2,2.645248974999248
amazon,recall_ge_0.90_max_f1_precision,20,50,0.2509554140127388,1.0,0.4012219959263595,3.984771573604061,785.0,1.6006750750051424
