method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size,dataset,total_sample_budget,allocation_mode,schedule_base,strict_total_sample_budget,norm_percentile,delta_divisions,norm_quantile,delta_factor_equiv,base_radius,L,K,radius_percentile,hamming_probe,wall_time_s,kde_quality,speed_quality,score_kde,feasible
MECH,full,radius_first,2,7.4883445501327515,2,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.17810163717710198,0.2689102729215538,34.73337141882287,1430.725,499.975,1.5356729499995225,1.028202000000178,0.5012125750003094,0.03197129199999438,1430.825,1795.3,1642.75,1430.725,1357.575,2.0,715.3625,1357.575,cifar10_gist512,500,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.47421745799999826,0.7310897270784462,0.5513486065351278,0.7459053339883907,True
MECH,full,radius_first,2,7.4883445501327515,4,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.12470726531585272,0.28704890675596295,34.73337141882287,1430.725,247.225,1.7920209250014807,1.2471104750009232,0.5345365000007263,0.03197129199999438,1430.825,1795.3,1769.85,1430.725,1424.475,4.0,357.68125,1162.2,cifar10_gist512,250,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.5334991659999986,0.712951093244037,0.47645578759437457,0.7284398034853903,True
MECH,full,radius_first,2,7.4883445501327515,6,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.08016706260527726,0.2610966661823005,34.73337141882287,1430.725,168.025,2.155629050000485,1.5122394750001433,0.6437749999992803,0.03197129199999438,1430.825,1795.3,1777.75,1430.725,1426.625,6.0,238.4541666666667,936.95,cifar10_gist512,170,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.6551072919999967,0.7389033338176996,0.37022659865411,0.7320906169068782,True
MECH,full,radius_first,2,7.4883445501327515,8,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.011657624000083008,0.21928428208430367,34.73337141882287,1430.725,119.3,2.3527781500003897,1.7038520500001653,0.6410520750002036,0.03197129199999438,1430.825,1795.3,1788.25,1430.725,1429.0,8.0,178.840625,886.525,cifar10_gist512,120,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.7397950830000042,0.7807157179156963,0.31262890610158434,0.7493276589055238,True
MECH,full,radius_first,2,7.4883445501327515,10,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.1134189411638598,0.3495932120091551,34.73337141882287,1430.725,100.0,2.7501708500011546,1.9942220000011444,0.7183615000013077,0.03197129199999438,1430.825,1795.3,1788.6,1430.725,1429.175,10.0,143.07250000000002,856.675,cifar10_gist512,100,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.8493330000000014,0.6504067879908448,0.19652945367053998,0.6660478022037511,True
MECH,full,radius_first,2,7.4883445501327515,12,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.14097286939576664,0.41523790877996875,34.73337141882287,1430.725,80.0,2.713035425000143,2.0727864000004814,0.6339510250001013,0.03197129199999438,1430.825,1795.3,1793.075,1430.725,1430.3,12.0,119.22708333333335,846.0,cifar10_gist512,80,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.8029978750000026,0.5847620912200313,0.20737867789736464,0.6310281414024861,True
MECH,full,radius_first,2,7.4883445501327515,14,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.08122470704948745,0.3790163940183516,34.73337141882287,1430.725,69.95,3.105707274998437,2.3895614000004173,0.6993436999973568,0.03197129199999438,1430.825,1795.3,1793.425,1430.725,1430.475,14.0,102.19464285714285,822.625,cifar10_gist512,70,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.9176252500000004,0.6209836059816485,0.0926584357545186,0.639477950307091,True
MECH,full,radius_first,2,7.4883445501327515,16,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.01673297408102755,0.39275070204478396,34.73337141882287,1430.725,60.0,3.19053017499904,2.506698849999367,0.6771134749982366,0.03197129199999438,1430.825,1795.3,1794.775,1430.725,1430.55,16.0,89.4203125,802.425,cifar10_gist512,60,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.9388470839999883,0.607249297955216,0.06787717469042698,0.629445954786144,True
MECH,full,radius_first,2,7.4883445501327515,18,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.06113332981000887,0.3853390357279235,34.73337141882287,1430.725,60.0,3.4228645500011368,2.722723950000372,0.6846667249998717,0.03197129199999438,1430.825,1795.3,1794.775,1430.725,1430.55,18.0,79.48472222222222,796.4,cifar10_gist512,60,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,1.0041984580000047,0.6146609642720765,0.0,0.6267346537913745,True
MECH,full,radius_first,2,7.4883445501327515,20,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.12390720979647103,0.4125044126610188,34.73337141882287,1430.725,50.0,3.2349968250002803,2.6381717999996113,0.5951031499996873,0.03197129199999438,1430.825,1795.3,1794.95,1430.725,1430.725,20.0,71.53625000000001,775.025,cifar10_gist512,50,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.943804125000014,0.5874955873389812,0.054886111400696214,0.6172823076182418,True
