K,mean_precision,mean_recall,mean_f1,mean_candidate_to_true_ratio
2,0.2635181862198969,0.9168356885057083,0.40572139996690404,3.5312605978067166
4,0.2920839999159957,0.7414548887413194,0.4090410872891224,2.6636171264458377
6,0.31338053295588847,0.6468454398197651,0.3790323788634752,2.3385766978626177
8,0.3386155170909685,0.5087795328235931,0.3303598816580303,1.8235125918714195
10,0.3774205721188667,0.43448308343431846,0.2848692812773964,1.5168717453412421
12,0.3494576056815413,0.5951895859048577,0.36583992546093247,2.101910901137161
14,0.3639224850909012,0.5958748563385495,0.3694617128884019,2.097196668617586
16,0.36784224532695775,0.5761717489054217,0.35267216114103467,2.018982865050155
18,0.3871196051801431,0.537927240086891,0.3321680505967922,1.900607497376889
20,0.3942658679500054,0.5323908846731522,0.3297729866698563,1.8982417997293723
22,0.3654947954674976,0.631143626902928,0.3724579874507491,2.227848057459578
24,0.364119834903289,0.6232134504322662,0.3671868612669419,2.2116589166082017
26,0.37530887524543544,0.5949819017837156,0.35397860069727327,2.145209713046023
28,0.35765420108677437,0.6636439492423305,0.3849882164734117,2.3526789521436977
30,0.36965807090844544,0.6628508254827588,0.38692063968376994,2.3379204156208613
32,0.35611225515350636,0.7144561659056831,0.40936208699673743,2.4846833124797563
34,0.35799294019576744,0.7110853619455668,0.4076461658817272,2.4744998865090175
36,0.3521720254677465,0.7499167276328971,0.4252812040685461,2.580508515106494
38,0.35462719297893364,0.7483725771394769,0.42282679606278106,2.579385978454847
40,0.3433363151056398,0.7841396880154773,0.43472735110543814,2.686495220716513
42,0.33007383061653695,0.8293425043739362,0.44671271863005013,2.8305888270159816
44,0.328358587342799,0.8335080623931528,0.4444944119919535,2.856855721852673
46,0.31926381846751084,0.8673581046943373,0.4506910905571304,2.9669912971487813
48,0.30430334592355496,0.9079411430449099,0.4478928442567267,3.1510848248174455
50,0.28655641866338794,0.9500833949248584,0.43694261713050747,3.4100464903460757
52,0.2987772260466895,0.9232879649222195,0.4453925553097504,3.2341758262956417
54,0.3132235055607545,0.8899291755302187,0.45189884319819335,3.051171465334289
56,0.3240487359007763,0.8585362639643932,0.4512007575815824,2.925537539878168
58,0.3371149215053429,0.8268683323266088,0.44828373987228176,2.8047837183897912
60,0.34744143637634683,0.7988081585009436,0.4401422852897194,2.7165083240789722
62,0.35781189561028226,0.7721911511737406,0.4307962095720909,2.6363049438610444
64,0.36879798347179,0.747362726247244,0.4194370852903456,2.568803379999075
66,0.3780948900409495,0.7267064890267038,0.40957224708952716,2.5109305178815515
68,0.38562323515032826,0.7088095046040446,0.39939231842538714,2.468143165748109
70,0.392550091386937,0.6929691997041105,0.38897657783024586,2.4288486247581673
72,0.4039214376082977,0.673087152789502,0.3800555682098708,2.3739182589795442
74,0.4214147899813949,0.6470169678398445,0.36992051466781123,2.2958881460388207
76,0.42919042520867967,0.6304859632289216,0.35984093941881506,2.2564797079373653
78,0.457627208847191,0.5925510446798053,0.3409953683722698,2.1294398249237454
80,0.4626885135692781,0.5740185020003177,0.3326706409841602,2.072027787157198
82,0.4609406600427623,0.5510412621010151,0.320326039721058,2.0012758796958066
84,0.45211471201132714,0.5378757753653909,0.3142821766019852,1.9512153217828903
86,0.4398067545719805,0.5234713006942022,0.3070024866347553,1.9037793635250613
88,0.44082309880747944,0.5079076763362235,0.29982528374665335,1.8433813790999007
90,0.4246502618685163,0.47200985886474,0.28473256194114227,1.6941198419442662
92,0.4050421679516478,0.4612756950775553,0.2808431226169306,1.6432376945135394
94,0.4008038666852366,0.4507677453937668,0.2757695747218635,1.5987043641190912
96,0.4057788381942664,0.4400520004427086,0.27157076675208097,1.5496986445487437
98,0.3709592111257928,0.4139190288736067,0.26014117097513,1.4275998664370584
100,0.36194231430130275,0.40839177540540983,0.257620154972958,1.395009161192212
102,0.3666254753518426,0.398695630003139,0.252373226413101,1.358102496895412
104,0.3512968654099063,0.3791303759709263,0.24005498521005014,1.2747392310188677
106,0.3497584229533543,0.37205588618011237,0.2350840374141019,1.252729955554055
108,0.3337268999695916,0.35375892295494255,0.2212637787614441,1.1894068360965104
110,0.3313292429489397,0.3496552453468697,0.2179567600497858,1.1755327834179357
112,0.33629599432998847,0.3428582205301749,0.2120558145226954,1.1584430344049634
114,0.31320982986296686,0.3256680767061478,0.19465647100067382,1.1179660885504794
116,0.30648837787700056,0.32203179639029894,0.19100451004081986,1.1099326706147772
118,0.31900820594475726,0.3103233220530175,0.17828292546019606,1.083945290468133
120,0.31957991596966895,0.30755851663846584,0.17495405235054734,1.0785767766497463
122,0.3164802204384608,0.29825183305132547,0.1640917310135539,1.0615569655950368
124,0.31706425381048614,0.2950530879864636,0.16060904184515273,1.0567182741116752
126,0.3021349366031689,0.2858377749576988,0.14951993830838398,1.0424251269035534
128,0.2722617987160983,0.2783123942470389,0.14042943611856862,1.0319938663282573
