dataset,L,K,point_precision,point_recall,point_f1,candidate_size,exact_r25_candidate_size,candidate_to_true_ratio,candidate_expansion_ratio,query_time_ms,mean_hamming_threshold
amazon,20,2,0.2504802526148778,0.9865482233502538,0.39951530962744314,775.95,197.0,3.938832487309645,3.938832487309645,1.0221676750035158,0.0
amazon,20,4,0.2559087535829379,0.7144670050761421,0.3766829208698861,551.025,197.0,2.797081218274111,2.797081218274111,1.34110300000998,0.0
amazon,20,6,0.24674462167130257,0.8300761421319798,0.3788292638849745,654.475,197.0,3.322208121827411,3.322208121827411,2.5863592749999498,0.51875
amazon,20,8,0.2560521598618981,0.541243654822335,0.34630964876734993,416.025,197.0,2.111802030456853,2.111802030456853,4.141993725005477,0.9875
amazon,20,10,0.2353957223595904,0.4035532994923858,0.2789745780153912,289.875,197.0,1.4714467005076144,1.4714467005076144,6.3636155749946965,1.11875
amazon,20,12,0.24590449834091962,0.7513959390862943,0.3700124571104611,600.7,197.0,3.049238578680203,3.049238578680203,8.141889550003611,2.9625
amazon,20,14,0.2510837683198641,0.7889593908629442,0.3807891034261092,619.1,197.0,3.142639593908629,3.142639593908629,8.748681275002923,3.7
amazon,20,16,0.2438747153054061,0.7262690355329949,0.3624108532728944,571.25,197.0,2.8997461928934007,2.8997461928934007,9.108006374998467,4.29375
amazon,20,18,0.2450551353071199,0.6808375634517766,0.35817976674662955,537.275,197.0,2.727284263959391,2.727284263959391,9.605591700005789,4.98125
amazon,20,20,0.24295977988869016,0.6836294416243655,0.35755547315261416,546.025,197.0,2.771700507614213,2.771700507614213,9.975003000010929,5.7875
amazon,20,22,0.24300764673177694,0.860532994923858,0.37867636605936184,695.425,197.0,3.5300761421319793,3.5300761421319793,10.464009249989203,7.55
amazon,20,24,0.23499970828238995,0.8151015228426395,0.364200370181066,675.875,197.0,3.4308375634517767,3.4308375634517767,10.75123130000577,8.31875
amazon,20,26,0.22679308148192473,0.7714467005076143,0.34980595252053404,658.325,197.0,3.341751269035533,3.341751269035533,13.526210375005121,9.08125
amazon,20,28,0.23313716088866432,0.8633248730964468,0.3669550930968053,725.075,197.0,3.6805837563451775,3.6805837563451775,11.347884349996207,10.8875
amazon,20,30,0.2348945661774823,0.8668781725888325,0.3694868331297469,723.45,197.0,3.6723350253807103,3.6723350253807103,11.695956274996888,11.7375
amazon,20,32,0.24129302624021692,0.9341370558375633,0.38345907917999156,761.1,197.0,3.8634517766497467,3.8634517766497467,12.306528075004053,13.58125
amazon,20,34,0.24067653528568247,0.9280456852791877,0.3821544143032859,757.75,197.0,3.8464467005076144,3.8464467005076144,12.483185525007912,14.43125
amazon,20,36,0.2438928601225343,0.9574873096446701,0.38872855198757084,772.425,197.0,3.9209390862944162,3.9209390862944162,12.906803149996904,16.36875
amazon,20,38,0.24387143581896473,0.9552030456852793,0.3885099223959946,770.7,197.0,3.9121827411167516,3.9121827411167516,13.236928174998752,17.33125
amazon,20,40,0.2477968609916989,0.9812182741116751,0.39566307390442124,779.85,197.0,3.9586294416243653,3.9586294416243653,13.609368800001675,19.3375
amazon,20,42,0.24950342076971116,0.991751269035533,0.39870016111837336,783.0,197.0,3.974619289340102,3.974619289340102,14.010210474987161,21.39375
amazon,20,44,0.24947685020839838,0.991751269035533,0.39866590583193917,783.075,197.0,3.975,3.975,14.299707325002942,22.6
amazon,20,46,0.2507880332969521,0.998984771573604,0.40092628502052924,784.725,197.0,3.983375634517767,3.983375634517767,15.073277075018154,25.0125
