dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,speed_quality,ratio_quality,score_precision_recall_ratio,feasible,selection
amazon,20,2,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2504802526148778,0.9865482233502538,0.39951530962744314,0.9855976938928646,0.037640164248402705,0.013332817726624849,775.95,197.0,3.938832487309645,0.0,50.32802359873031,1.0221676750035158,119.190086791,3.938832487309645,0.9623598357515973,0.9679844341233355,0.011528662420382196,0.498639565309093,False,precision_recall_ratio_score
cifar10,20,4,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.0,13.096866976334454,2.3804905749955196,157.98289237499998,4.0,0.9998384294447498,0.6259837075947785,0.0,0.4837991853796269,False,precision_recall_ratio_score
cifar10_gist512,20,54,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.40059653961281255,0.7319444444444445,0.5150300414353397,0.9500225359793969,0.04862901518270506,0.050939310054887665,823.225,450.0,1.829388888888889,19.738690476190477,17.84474377865812,24.979261275002784,45.899142499999925,1.829388888888889,0.951370984817295,0.37559469786570376,0.49341558721270107,0.5315170541312384,False,precision_recall_ratio_score
isolet,20,74,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4856594935194304,0.5931361172702636,0.517600672469609,0.9166036406189431,0.08339065593529357,0.08340585576252305,587.5,450.025,1.3055176151761518,18.314999999999998,15.815579646800566,28.156720775001176,50.815931041999995,1.3055176151761518,0.9166093440647064,0.3754705114712886,0.5350395000874582,0.5231366136440969,False,precision_recall_ratio_score
