dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,speed_quality,ratio_quality,score_precision_recall_ratio,feasible
amazon,20,22,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24300764673177694,0.860532994923858,0.37867636605936184,0.8428611101284733,0.11682458178627964,0.1483612416537318,695.425,197.0,3.5300761421319793,7.55,50.32802359873031,10.464009249989203,119.190086791,3.5300761421319793,0.8831754182137204,0.6722541852285591,0.11410828025477726,0.4534454258215911,False
amazon,20,24,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23499970828238995,0.8151015228426395,0.364200370181066,0.7809624764184229,0.1825475944785319,0.2072417044384455,675.875,197.0,3.4308375634517767,8.31875,50.32802359873031,10.75123130000577,119.190086791,3.4308375634517767,0.8174524055214681,0.6632580325537991,0.1390127388535033,0.43705961285767075,False
amazon,20,26,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.22679308148192473,0.7714467005076143,0.34980595252053404,0.7251078153652448,0.24095651105476143,0.26176144789111566,658.325,197.0,3.341751269035533,9.08125,50.32802359873031,13.526210375005121,119.190086791,3.341751269035533,0.7590434889452385,0.5763422284694038,0.1613694267515925,0.4169460829782011,False
amazon,20,28,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23313716088866432,0.8633248730964468,0.3669550930968053,0.8249002328493329,0.1384289702137274,0.16277401382558887,725.075,197.0,3.6805837563451775,10.8875,50.32802359873031,11.347884349996207,119.190086791,3.6805837563451775,0.8615710297862726,0.6445701152046068,0.0763375796178345,0.44241205480217344,False
amazon,20,30,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2348945661774823,0.8668781725888325,0.3694868331297469,0.8298433300115573,0.1330783681401353,0.15906357728093354,723.45,197.0,3.6723350253807103,11.7375,50.32802359873031,11.695956274996888,119.190086791,3.6723350253807103,0.8669216318598647,0.6336680685862393,0.07840764331210215,0.4442877440475123,False
amazon,20,32,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24129302624021692,0.9341370558375633,0.38345907917999156,0.9088968724074057,0.05900580309067318,0.08353672284571406,761.1,197.0,3.8634517766497467,13.58125,50.32802359873031,12.306528075004053,119.190086791,3.8634517766497467,0.9409941969093268,0.6145441986345743,0.030445859872611503,0.46183999415143195,False
amazon,20,34,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24067653528568247,0.9280456852791877,0.3821544143032859,0.9041223941582267,0.06093882152416826,0.0881446474417155,757.75,197.0,3.8464467005076144,14.43125,50.32802359873031,12.483185525007912,119.190086791,3.8464467005076144,0.9390611784758317,0.6090110670686766,0.03471337579617839,0.45985649108041926,False
amazon,20,36,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2438928601225343,0.9574873096446701,0.38872855198757084,0.9376019386859561,0.040833339994416774,0.056364254359600574,772.425,197.0,3.9209390862944162,16.36875,50.32802359873031,12.906803149996904,119.190086791,3.9209390862944162,0.9591666600055833,0.5957428349468727,0.01601910828025488,0.46778908821282,False
amazon,20,38,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24387143581896473,0.9552030456852793,0.3885099223959946,0.9332059980637183,0.04526563510778742,0.06074048087235205,770.7,197.0,3.9121827411167516,17.33125,50.32802359873031,13.236928174998752,119.190086791,3.9121827411167516,0.9547343648922125,0.585402907610151,0.018216560509554225,0.466838894646122,False
amazon,20,40,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2477968609916989,0.9812182741116751,0.39566307390442124,0.9720708488610423,0.03696385019488023,0.02540447870349537,779.85,197.0,3.9586294416243653,19.3375,50.32802359873031,13.609368800001675,119.190086791,3.9586294416243653,0.9630361498051198,0.5737376029282295,0.006560509554140337,0.47507879074421644,False
