dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
cifar10_gist512,3,10,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4590438800553076,0.1388888888888889,0.18973240292116048,0.2769653784690269,0.7228479848250209,0.7233086747971281,125.575,450.0,0.27905555555555556,1.0544642857142859,17.84474377865812,1.187425999999192,34.572199375
cifar10_gist512,3,20,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.554783898935602,0.12733333333333335,0.18302683192458996,0.3123905459090818,0.6875120321889889,0.6880465157917535,90.8,450.0,0.20177777777777778,3.726041666666667,17.84474377865812,1.6454124499993839,34.572199375
cifar10_gist512,3,30,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5618400189056012,0.19844444444444445,0.2569821359096827,0.4313120349334005,0.5684998839985109,0.5693327430637389,147.025,450.0,0.32672222222222225,7.582142857142857,17.84474377865812,1.7528894999990996,34.572199375
cifar10_gist512,3,40,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5457373241478768,0.3356111111111111,0.3890804720242915,0.6649746801843494,0.3346449689981349,0.3360328496513913,271.025,450.0,0.6022777777777778,12.782440476190477,17.84474377865812,2.07247504999728,34.572199375
cifar10_gist512,3,50,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4081665167125551,0.7302222222222222,0.5201771530585055,0.9381432578549921,0.060593409383440155,0.06286515880343774,810.075,450.0,1.8001666666666665,20.47425595238095,17.84474377865812,2.0407396000003075,34.572199375
cifar10_gist512,3,60,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.6236733464507724,0.24677777777777782,0.31642769569246126,0.5932310095143698,0.4065467650777954,0.40768056706042816,173.8,450.0,0.3862222222222222,18.98735119047619,17.84474377865812,2.0502676500022687,34.572199375
cifar10_gist512,3,70,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.7381490654624078,0.08822222222222222,0.12356646428724485,0.29523995810282744,0.7047337659107002,0.7050307379548248,48.625,450.0,0.10805555555555557,17.964434523809523,17.84474377865812,2.108835475001314,34.572199375
cifar10_gist512,3,80,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3687307194500144,0.036444444444444446,0.05171213104436578,0.14719461819552299,0.8528049144567038,0.8528778687795506,17.175,450.0,0.03816666666666667,16.27485119047619,17.84474377865812,2.6194792250002763,34.572199375
cifar10_gist512,3,90,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.17020188053097346,0.020277777777777777,0.02949304420370588,0.0782785714048215,0.9217214242184021,0.9217485431531592,9.225,450.0,0.0205,14.460714285714285,17.84474377865812,2.2516624749961522,34.572199375
cifar10_gist512,3,100,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.05,0.010833333333333334,0.017480557062745837,0.04961695219985013,0.9503830516770811,0.9503830570596279,4.875,450.0,0.010833333333333334,10.795535714285714,17.84474377865812,2.392133275000674,34.572199375
cifar10_gist512,4,10,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.47230124008200913,0.11955555555555555,0.17927347192694815,0.26325366848644094,0.7366145954946257,0.7370524321724437,105.15,450.0,0.2336666666666667,0.8864583333333332,17.84474377865812,1.2188363749991993,34.572199375
cifar10_gist512,4,20,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5584372867064605,0.12466666666666666,0.1841560773080899,0.31341648020550517,0.6864697872043853,0.6870803414632868,89.375,450.0,0.19861111111111113,3.459077380952381,17.84474377865812,1.658768850001735,34.572199375
