method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size,dataset,total_sample_budget,allocation_mode,schedule_base,strict_total_sample_budget,norm_percentile,delta_divisions,norm_quantile,delta_factor_equiv,base_radius,L,K,radius_percentile,hamming_probe,wall_time_s,kde_quality,speed_quality,score_kde,feasible
MECH,full,radius_first,2,16.506187152862548,2,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.047071225362356015,0.1339413399180504,1.5161631789326449,1782.225,500.0,1.334310474999878,0.8690342750002245,0.46292912499987793,0.03508529199999977,1782.225,1800.0,1799.85,1782.225,1782.175,2.0,891.1125,1782.175,isolet,500,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.42047320899999896,0.8660586600819495,0.5753122596495003,0.8544206548388726,True
MECH,full,radius_first,2,16.506187152862548,4,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.07399529830785183,0.2337629141220754,1.5161631789326449,1782.225,250.0,1.4980446999998343,1.1061677249999846,0.390979074999942,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,4.0,445.55625,1727.825,isolet,250,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.4577682079999992,0.7662370858779246,0.5231985130094778,0.7943074143626565,True
MECH,full,radius_first,2,16.506187152862548,6,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.028198272089870646,0.24941431446345338,1.5161631789326449,1782.225,169.85,1.6642051749999442,1.2988177000001766,0.3634603500000111,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,6.0,297.0375,1670.275,isolet,170,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.49914495900000055,0.7505856855365466,0.4703125333326946,0.7804105462072204,True
MECH,full,radius_first,2,16.506187152862548,8,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.08661622933545213,0.29774588280050596,1.5161631789326449,1782.225,120.0,1.8018333000001885,1.462659300000091,0.3363093500001746,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,8.0,222.778125,1636.325,isolet,120,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.536119750000001,0.702254117199494,0.426507902768706,0.7494477205654425,True
MECH,full,radius_first,2,16.506187152862548,10,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.046355572362998684,0.3421767600616895,1.5161631789326449,1782.225,100.0,2.0003999750002777,1.6654927000001152,0.3293469000001714,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,10.0,178.2225,1607.65,isolet,100,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.5900332500000012,0.6578232399383105,0.36330759512313526,0.7186907073072345,True
MECH,full,radius_first,2,16.506187152862548,12,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,0.056403591803401834,0.4523165811508852,1.5161631789326449,1782.225,80.0,2.2941885500003423,1.947086350000049,0.3521896499998789,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,12.0,148.51875,1579.775,isolet,80,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.6758008750000002,0.5476834188491149,0.2697998183385888,0.6487630280297222,True
MECH,full,radius_first,2,16.506187152862548,14,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.17521182900035384,0.29885731547946515,1.5161631789326449,1782.225,70.0,2.4822905500001546,2.1304656249999,0.3506166499996688,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,14.0,127.30178571428571,1551.375,isolet,70,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.7291455000000013,0.7011426845205349,0.2099302341360535,0.7271786657287498,True
MECH,full,radius_first,2,16.506187152862548,16,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.02363441276706385,0.43254360221973354,1.5161631789326449,1782.225,60.0,2.616121874999777,2.277648849999725,0.3418520499996802,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,16.0,111.3890625,1538.55,isolet,60,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.7647812499999986,0.5674563977802665,0.16733405875774943,0.6493915904837718,True
MECH,full,radius_first,2,16.506187152862548,18,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.11718862411228159,0.424337962759579,1.5161631789326449,1782.225,60.0,2.9095968750002754,2.5441728499998817,0.3677844000000263,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,18.0,99.0125,1538.475,isolet,60,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.8546182500000015,0.575662037240421,0.07392608742365203,0.6445638950534471,True
MECH,full,radius_first,2,16.506187152862548,20,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.2888808053569177,0.3607179195189544,1.5161631789326449,1782.225,50.0,3.1418624750002344,2.768316724999753,0.3674562749997001,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,20.0,89.11125,1516.1,isolet,50,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.916321749999998,0.6392820804810456,0.0,0.6721623100934253,True
