dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
cifar10,3,10,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.8249747474747476,13.096866976334454,1.1181301750013972,123.944970042
cifar10,3,20,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,3.1031060606060605,13.096866976334454,1.1078469499992138,123.944970042
cifar10,3,30,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,6.814431818181819,13.096866976334454,1.0825665500028947,123.944970042
cifar10,3,40,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,11.831325757575758,13.096866976334454,1.0806854749972672,123.944970042
cifar10,3,50,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,19.087493686868687,13.096866976334454,1.0733322250004562,123.944970042
cifar10,3,60,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,17.698983585858585,13.096866976334454,1.0738843499986217,123.944970042
cifar10,3,70,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,16.39083964646465,13.096866976334454,1.1015208250022113,123.944970042
cifar10,3,80,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,14.35284722222222,13.096866976334454,1.0927593750018616,123.944970042
cifar10,3,90,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,12.064185606060606,13.096866976334454,1.0782614750006303,123.944970042
cifar10,3,100,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,7.951616161616161,13.096866976334454,1.0765925999983494,123.944970042
cifar10,4,10,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.7158712121212121,13.096866976334454,1.1439823250007919,123.944970042
cifar10,4,20,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,2.8554608585858583,13.096866976334454,1.1678687999975068,123.944970042
